TRADEDATE,CLOSE,EMA_12,EMA_26,MACD,MACD_signal,RSI,ADX,Stoch_K,Stoch_D,ATR,Signal
2024-10-07,106.22,,,,,,0.0,,,0.0,HOLD
2024-10-08,115.04,,,,,,0.0,,,0.0,HOLD
2024-10-09,115.08,,,,,,0.0,,,0.0,HOLD
2024-10-10,111.04,,,,,,0.0,,,0.0,HOLD
2024-10-11,102.8,,,,,,0.0,,,0.0,HOLD
2024-10-14,106.96,,,,,,0.0,,,0.0,HOLD
2024-10-15,108.0,,,,,,0.0,,,0.0,HOLD
2024-10-16,108.06,,,,,,0.0,,,0.0,HOLD
2024-10-17,106.96,,,,,,0.0,,,0.0,HOLD
2024-10-18,105.92,,,,,,0.0,,,0.0,HOLD
2024-10-21,105.92,,,,,,0.0,,,0.0,HOLD
2024-10-22,106.98,107.22931825549766,,,,,0.0,,,0.0,HOLD
2024-10-23,106.98,107.19096160080571,,,,,0.0,,,0.0,HOLD
2024-10-24,105.12,106.87235212375867,,,,44.038357723767994,0.0,18.892508143322534,,2.2471428571428578,HOLD
2024-10-25,108.06,107.05506718164195,,,,52.798248238130505,0.0,42.83387622149841,,2.2966326530612244,HOLD
2024-10-28,99.98,105.96659530754319,,,,36.08177033110307,0.0,0.0,20.575461454940314,2.7097303206997085,HOLD
2024-10-29,100.5,105.12558064484423,,,,37.454230877280516,0.0,4.701627486437576,15.845167902645324,2.5533210120783005,HOLD
2024-10-30,104.92,105.09395285332974,,,,47.72835696519401,0.0,61.138613861386126,21.946747115941236,2.6866552255012794,HOLD
2024-10-31,106.74,105.3471908758944,,,,51.277399588510704,0.0,83.66336633663357,49.83453589481909,2.624751280822616,HOLD
2024-11-01,95.08,103.76762304883373,,,,34.91956699130881,0.0,0.0,48.26732673267323,3.270126189335286,HOLD
2024-11-02,96.04,102.57875796439777,,,,36.70973602158099,0.0,7.395993836671861,30.35312005776848,3.1051171758113374,HOLD
2024-11-05,108.2,103.44356443141349,,,,53.97821511581534,0.0,100.0,35.79866461222395,3.7518945203962417,HOLD
2024-11-06,105.9,103.82147759581142,,,,51.1362111904137,0.0,82.46951219512198,63.288502010597945,3.648187768939367,HOLD
2024-11-07,106.5,104.23355796568659,,,,51.84844820383131,0.0,87.04268292682926,89.83739837398373,3.430460071157983,HOLD
2024-11-08,115.04,105.89608750942712,,,,60.64195696887404,0.0,100.0,89.83739837398373,3.7954272089324133,HOLD
2024-11-11,118.4,107.81976635413065,106.7189692423432,1.1007971117874433,,63.46868066860536,0.0,100.00000000000001,95.6808943089431,3.7643252654372406,HOLD
2024-11-12,115.94,109.06903306887978,107.4020085577252,1.6670245111545796,,60.067201794577166,0.0,89.451114922813,96.483704974271,3.671159175048867,HOLD
2024-11-13,113.0,109.67379721212905,107.81667459048629,1.857122621642759,,56.19128723392787,12.083045564573045,76.84391080617495,88.76500857632932,3.6189335196882335,HOLD
2024-11-14,110.12,109.74244379487843,107.98729128748731,1.7551525073911165,,52.6100325659023,11.591515193792956,64.49399656946828,76.92967409948541,3.5661525539962162,HOLD
2024-11-15,116.0,110.70514474951253,108.58082526619195,2.1243194833205763,,58.434647436194325,11.886619377008644,89.7084048027444,77.01543739279587,3.7314273715679147,HOLD
2024-11-18,120.0,112.13512248035676,109.42669006128884,2.7084324190679183,,61.868140230000506,12.613301892550776,100.0,84.73413379073754,3.750611130741635,HOLD
2024-11-19,118.74,113.1512574833788,110.11656487156374,3.0346926118150606,,60.18172490565533,13.071213134375764,94.94382022471908,94.8840750091545,3.5727103356886616,HOLD
2024-11-20,111.38,112.87875633208975,110.21015265885532,2.668603673234429,,51.37280414588554,12.346125003472753,65.40930979133225,86.78437667201712,3.8432310259966145,HOLD
2024-11-21,111.38,112.64817843484516,110.29680801745863,2.3513704173865335,2.2040546274419652,51.37280414588554,11.672828881919957,64.02337228714521,74.79216743439885,3.568714524139714,BUY
2024-11-22,107.0,111.77922790640746,110.0526000161654,1.7266278902420567,2.1085692800019835,46.65912196434904,11.258350400188979,7.801418439716275,45.744700172731235,3.6266634867011622,SELL
2024-11-25,104.22,110.61626976696016,109.62055557052352,0.9957141964366372,1.8859982632889145,43.90551787526356,11.24433628122696,0.0,23.941596908953827,3.566187523365365,HOLD
2024-11-26,102.82,109.41684364896628,109.1168107134477,0.3000329355185727,1.5688051977348463,42.5438546901085,11.415839404141733,0.0,2.6004728132387585,3.4114598431249825,HOLD
2024-11-27,111.36,109.71579077989455,109.28297288282195,0.43281789707259577,1.3416077376023963,52.26843345192167,10.926441395256708,49.708963911525046,16.569654637175017,3.777784140044627,HOLD
2024-11-28,111.4,109.97489989068,109.43978970631662,0.5351101843633899,1.180308226954595,52.309148616215154,10.47750553070531,49.94179278230506,33.216918897943366,3.510799558612869,HOLD
2024-11-29,112.02,110.28953067672924,109.63091639473761,0.6586142819916319,1.0759694379620024,52.97866595919045,10.151234558838707,53.550640279394635,51.06713232440825,3.304313875854806,HOLD
2024-12-02,113.18,110.73421826492475,109.8938114766089,0.8404067883158461,1.0288569080327712,54.272142604418576,10.023684384223275,60.30267753201402,54.59837019790458,3.151148599008035,HOLD
2024-12-03,109.38,110.52587699339786,109.85575136723047,0.6701256261673905,0.9571106516596951,49.47120134003087,9.362804896898345,38.18393480791618,50.679084206441615,3.197495127650319,HOLD
2024-12-04,104.5,109.59881899441358,109.4590290437319,0.1397899506816742,0.7936465114640909,44.078602090095835,9.489310427638696,9.778812572759058,36.08847497089642,3.3176740471038677,HOLD
2024-12-05,114.94,110.42053914911918,109.86502689234436,0.5555122567748185,0.7460196605262366,55.30354476876235,9.555728011363177,70.54714784633295,39.50329840900273,3.826411615167877,HOLD
2024-12-06,115.94,111.26968697233161,110.31502490031886,0.9546620720127521,0.7877481428235398,56.210243130955625,9.742897767695439,82.41206030150755,54.24600690686652,3.624525071227314,BUY
2024-12-09,115.96,111.9912735919729,110.73317120399895,1.258102387973949,0.8818189918536217,56.229367505954414,9.919347119826494,100.0,84.31973604928017,3.3670589947110767,HOLD
2024-12-10,108.14,111.3987699624386,110.54108444814717,0.8576855142914326,0.8769922963411839,47.49512590214384,9.54843692897035,40.48706240487068,74.29970756879274,3.6851262093745705,SELL
2024-12-11,102.3,109.99895919898651,109.93063374828442,0.0683254507020905,0.7152589272133653,42.22066746020386,9.940794005032975,0.0,46.82902080162356,3.8390457658478154,HOLD
2024-12-12,101.0,108.61450393760398,109.26910532248557,-0.6546013848815875,0.44128686479437473,41.125807782683694,10.45864272170711,0.0,13.495687468290226,3.6576853540015426,HOLD
2024-12-13,101.0,107.44304179335722,108.65657900230146,-1.2135372089442313,0.11032205004665352,41.12580778268369,10.93950224433309,0.0,0.0,3.3964221144300035,HOLD
2024-12-16,95.64,105.6271892097638,107.69238796509394,-2.065198755330144,-0.32478211102870597,36.5887738564867,12.02431747646034,0.0,0.0,3.5366776776850033,HOLD
2024-12-17,102.78,105.18916010056937,107.32850737508699,-2.1393472745176183,-0.6876951437264884,45.25310743779025,11.823933343344788,35.13779527559056,11.712598425196854,3.7940578435646457,HOLD
2025-01-06,104.02,105.00928931586638,107.08343275471017,-2.074143438843791,-0.964984802749949,46.61730621395663,11.447049574770885,41.24015748031495,25.459317585301836,3.6116251404528845,HOLD
2025-01-08,112.06,106.09401403650233,107.45206736547237,-1.358053328970044,-1.043598507993968,54.529035135469634,11.271901623659703,80.80708661417327,52.3950131233596,3.9279376304205362,HOLD
2025-01-09,111.68,106.95339649242506,107.76524756062257,-0.8118510681975124,-0.9972490200346769,54.12076550526194,11.051884780894325,78.9370078740158,66.99475065616801,3.674513513961926,HOLD
2025-01-10,115.5,108.26825857051351,108.33819218576164,-0.06993361524813224,-0.811785939077368,57.56071283217134,11.332154700819768,97.73622047244098,85.82677165354335,3.684905405821788,HOLD
2025-01-13,119.0,109.91929571351143,109.12795572755707,0.7913399859543659,-0.49116075407102117,60.48416603600827,12.00511485590044,100.0,92.22440944881892,3.6716978768345174,BUY
2025-01-14,119.0,111.31632714220198,109.85921826625653,1.4571088759454511,-0.1015068280677267,60.48416603600826,12.63000642847535,100.0,99.245406824147,3.409433742774909,HOLD
2025-01-15,118.0,112.34458450494014,110.46223913542272,1.8823453695174237,0.2952636114493034,59.13436631083598,13.020316233520093,95.71917808219179,98.5730593607306,3.2373313325767015,HOLD
2025-01-16,121.24,113.71310996571859,111.26059179205808,2.4525181736605077,0.7267145238915443,62.08659579382413,13.800215394553046,100.0,98.5730593607306,3.237521951678365,HOLD
2025-01-17,124.94,115.44032381714649,112.27388128894268,3.1664425282038167,1.214660124753999,65.1801659505601,14.962718330333619,100.0,98.5730593607306,3.2705560979870536,HOLD
