TRADEDATE,CLOSE,EMA_12,EMA_26,MACD,MACD_signal,RSI,ADX,Stoch_K,Stoch_D,ATR,Signal
2024-10-07,86.43,,,,,,0.0,,,0.0,HOLD
2024-10-08,85.85,,,,,,0.0,,,0.0,HOLD
2024-10-09,89.79,,,,,,0.0,,,0.0,HOLD
2024-10-10,86.16,,,,,,0.0,,,0.0,HOLD
2024-10-11,85.61,,,,,,0.0,,,0.0,HOLD
2024-10-14,86.7,,,,,,0.0,,,0.0,HOLD
2024-10-15,86.67,,,,,,0.0,,,0.0,HOLD
2024-10-16,85.82,,,,,,0.0,,,0.0,HOLD
2024-10-17,85.09,,,,,,0.0,,,0.0,HOLD
2024-10-18,84.84,,,,,,0.0,,,0.0,HOLD
2024-10-21,84.71,,,,,,0.0,,,0.0,HOLD
2024-10-22,83.58,85.49881208310185,,,,,0.0,,,0.0,HOLD
2024-10-23,82.22,84.99437945493234,,,,,0.0,,,0.0,HOLD
2024-10-24,82.64,84.63216723109659,,,,32.124626778858214,0.0,5.548216644649951,,1.0492857142857173,HOLD
2024-10-25,79.89,83.9026030416971,,,,23.903383931036373,0.0,0.0,,1.1707653061224517,HOLD
2024-10-28,76.2,82.71758718912832,,,,17.450155447774677,0.0,0.0,1.8494055482166505,1.350710641399419,HOLD
2024-10-29,77.45,81.90718916003165,,,,24.85143296653753,0.0,11.904761904761905,3.9682539682539684,1.3435170241566035,HOLD
2024-10-30,76.19,81.02762159694986,,,,22.647233918958477,0.0,0.0,3.9682539682539684,1.3375515224311323,HOLD
2024-10-31,75.25,80.13875673588065,,,,21.140758882544063,0.0,0.0,3.9682539682539684,1.3091549851146227,HOLD
2024-11-01,76.62,79.59740954574517,,,,28.595767129036687,0.0,11.996497373029811,3.998832457676604,1.3135010576064357,HOLD
2024-11-02,77.12,79.21626961563052,,,,31.15381992548663,0.0,17.691579943235627,9.89602577208848,1.255393839205976,HOLD
2024-11-05,77.38,78.93376659784121,,,,32.507845493357905,0.0,21.64634146341458,17.11147292656001,1.1842942792626914,HOLD
2024-11-06,78.32,78.83934096740411,,,,37.30844265620558,0.0,32.01251303441076,23.783478147020322,1.1668446878867849,HOLD
2024-11-07,79.1,78.87944235703425,,,,41.055064828531144,0.0,40.69767441860462,31.452176305476655,1.1392129244663003,HOLD
2024-11-08,80.2,79.08260507133667,,,,45.959955218050034,0.0,59.423769507803165,44.04465232027285,1.1364120012901366,HOLD
2024-11-11,81.58,79.46681967574642,81.11406469807841,-1.6472450223319868,,51.42130215236024,0.0,85.65629228687412,61.92591207109397,1.1538111440551266,HOLD
2024-11-12,80.68,79.65346280255466,81.08191175748001,-1.4284489549253578,,48.01334492671786,0.0,73.47767253044664,72.85257810837464,1.135681776622617,HOLD
2024-11-13,79.41,79.61600698677702,80.95806644211113,-1.342059455334109,,43.620116537212816,27.28519233759738,65.71879936808843,74.95092139513639,1.145275935435288,HOLD
2024-11-14,79.19,79.55046745034979,80.8270985575103,-1.2766311071605116,,42.88803142640347,26.348859886269043,62.24328593996839,67.14658594616782,1.07918479718991,HOLD
2024-11-15,80.59,79.71039553491136,80.80953570139843,-1.099140166487075,,48.77931798542768,24.755610462094946,84.36018957345979,70.7740916271722,1.1021001688192025,HOLD
2024-11-18,78.95,79.59341160646346,80.67179231610965,-1.0783807096461828,,43.16250281188032,23.966286996821463,58.45181674565567,68.35176408636129,1.1405215853321167,HOLD
2024-11-19,77.06,79.20365597469986,80.40425214454598,-1.200596169846122,,37.7655038763389,23.918044405153744,28.593996840442383,57.135334386519276,1.1940557578083941,HOLD
2024-11-20,75.64,78.65540120936141,80.05134457828332,-1.3959433689219054,,34.29576036479547,24.325099151421025,0.0,29.01527119536601,1.2101946322506518,HOLD
2024-11-21,76.3,78.29303179253658,79.77346720211418,-1.480435409577595,-1.3638852879006884,37.18450498610703,24.336063649823878,11.111111111111057,13.235035983851143,1.1708950156613191,HOLD
2024-11-22,74.05,77.64025767060788,79.34950666862424,-1.7092489980163634,-1.4329580299238236,32.01660295282724,25.031585642909228,0.0,3.703703703703681,1.2479739431140822,HOLD
2024-11-25,70.11,76.48175649051437,78.66509876724467,-2.1833422767303006,-1.583034879285119,25.367921327161554,26.587589689120286,0.0,3.703703703703681,1.4402615186059333,HOLD
2024-11-26,68.23,75.2122554919737,77.89212848818951,-2.6798729962158063,-1.8024025026712565,22.921915410568275,28.375664141216003,0.0,0.0,1.4716714101340806,HOLD
2024-11-27,70.02,74.41344695474697,77.30900785943473,-2.8955609046877555,-2.021034183074556,29.85678289851856,29.117808095929117,13.408239700374478,4.4694132334581544,1.4944091665530743,HOLD
2024-11-28,69.28,73.6236858847859,76.71426653651363,-3.090580651727734,-2.234943476805192,28.70689158199876,29.966034807071846,7.865168539325825,7.091136079900096,1.4405227975135688,HOLD
2024-11-29,69.5,72.98927267174192,76.17987642269782,-3.1906037509559013,-2.426075531635334,29.57528105696744,30.637742506714016,10.20080321285137,10.49140381751722,1.353342597691171,HOLD
2024-12-02,69.27,72.41707687608931,75.6680337247202,-3.250956848630892,-2.5910517950344456,29.17517937788763,31.316881174997963,8.414239482200584,8.826737078125923,1.2731038407132307,HOLD
2024-12-03,67.28,71.62675735669094,75.04669789325945,-3.419940536568504,-2.7568295433412575,25.909253543125473,32.402908764126884,0.0,6.20501423168398,1.3243107092337139,HOLD
2024-12-04,65.38,70.66571776335388,74.33064619746244,-3.6649284341085604,-2.9384493214947183,23.23490011329463,33.788436451268176,0.0,2.8047464940668565,1.3654313728598775,HOLD
2024-12-05,66.95,70.09406887668405,73.78393166431707,-3.689862787633018,-3.0887320147223782,29.69284261632528,34.19944512367461,11.569638909358929,3.856546303119638,1.3800434176556011,HOLD
2024-12-06,67.52,69.69805828027111,73.3199367262195,-3.621878445948383,-3.1953613009675794,31.931743501489365,34.27604194168672,18.321917808219172,9.963852239192695,1.3221831735373435,HOLD
2024-12-09,68.1,69.4522031602294,72.93327474649952,-3.4810715862701187,-3.2525033580280875,34.22694676497821,34.03363051737453,24.908424908424895,18.266660542000995,1.2691700897132474,HOLD
2024-12-10,66.94,69.06571036634796,72.48932846898104,-3.4236181026330854,-3.2867263069490873,31.90949284798785,34.131046226714425,14.285714285714304,19.17201900078612,1.261372226162301,HOLD
2024-12-11,67.81,68.87252415614059,72.14271154535282,-3.2701873892122393,-3.283418523401718,35.44011808800407,33.73679331460956,28.027681660899727,22.407273618346306,1.2334170671507085,HOLD
2024-12-12,66.57,68.51828967058049,71.7299180975489,-3.211628426968417,-3.269060504115058,32.827421711855294,33.734951947656455,25.158562367864626,22.49065277149288,1.2338872766399442,HOLD
2024-12-13,66.38,68.18932202895272,71.33362786810083,-3.1443058391481173,-3.2441095711216703,32.43287733214322,33.78840420825742,21.551724137931032,24.912656055565122,1.159323899737091,HOLD
2024-12-16,64.25,67.58327248603692,70.80891469268595,-3.2256422066490273,-3.2404160982271417,28.323163912413875,34.415083908428336,0.0,15.570095501931881,1.2286579068987271,HOLD
2024-12-17,64.21,67.06430748818508,70.32010619693143,-3.2557987087463545,-3.2434926203309846,28.250766779054047,35.007206435800654,0.0,7.183908045977006,1.1437537706916758,HOLD
2024-12-18,65.23,66.7821063361566,69.94306129345503,-3.1609549572984292,-3.226985087724474,32.956842676542706,34.9052458055106,19.281663516068225,6.427221172022737,1.1349142156422711,HOLD
2024-12-19,65.95,66.6540899767479,69.64727897542132,-2.9931889986734177,-3.180225869914263,36.14090409599251,34.36827262097701,34.38735177865629,17.88967176490817,1.1052774859535375,HOLD
2024-12-20,65.3,66.4457684418636,69.3252583105753,-2.879489868711687,-3.120078669673748,34.54580440410075,34.0933225376854,28.020565552699313,27.229860282474604,1.0727576655282853,HOLD
2024-12-23,74.19,67.6371886815769,69.68560954682897,-2.0484208652520692,-2.9057471087894124,60.33253753364032,33.099547660299145,100.0,54.13597244378519,1.631132117990551,HOLD
2024-12-24,73.89,68.599159653642,69.99704587669349,-1.3978862230514864,-2.6041749316418272,59.48092754791714,32.05726116685419,96.99398797595194,75.00485117621707,1.5360512524197971,HOLD
2024-12-25,76.53,69.81928893769708,70.48096840434583,-0.6616794666487493,-2.215675838643212,64.26162548946849,31.76782480586467,100.0,98.99799599198398,1.6149047343898117,HOLD
2024-12-26,75.74,70.73016756266676,70.87052630032022,-0.1403587376534574,-1.800612418445261,61.90774378272506,31.16808996369341,93.58766233766228,96.86055010453806,1.5559829676476828,HOLD
2024-12-27,76.49,71.61629562994881,71.2867836114076,0.3295120185412088,-1.374587531047967,63.28280269649937,30.806533138988858,99.67532467532462,97.75432900432895,1.4984127556728484,BUY
2024-12-28,78.09,72.61225014841823,71.79072556611816,0.8215245823000714,-0.9353651083783592,66.09467696791654,30.87077179303432,100.0,97.75432900432895,1.5056689874105025,HOLD
2024-12-30,80.03,73.75344243327696,72.40104219085015,1.3524002424268105,-0.4778120382173253,69.17693264202519,31.36965190860272,100.0,99.89177489177489,1.536692631166895,HOLD
2025-01-03,77.78,74.37291282815742,72.79948351004643,1.5734293181109962,-0.06756376695166105,62.123184398307856,30.83746466654288,85.77749683944374,95.2591656131479,1.5876431575121168,SELL
2025-01-06,77.97,74.92631085459475,73.18248473152447,1.7438261230702778,0.2947142110527267,62.47118442584066,30.392795526614403,86.97850821744626,90.91866835229666,1.4878115034041084,BUY
2025-01-08,78.64,75.49764764619556,73.58674512178192,1.9109025244136433,0.6179518737249101,63.7364509258784,30.15994467878446,91.21365360303413,87.98988621997471,1.4293963960181009,HOLD
2025-01-09,76.04,75.58108646985778,73.76846770535361,1.8126187645041654,0.8568852518807613,55.86523208020242,28.83034928091302,73.04054054054058,83.74423412034032,1.5130109391596647,HOLD
2025-01-10,79.28,76.15015008987966,74.1767293568089,1.9734207330707534,1.0801923481187596,62.13991817929514,28.488425912414066,94.90835030549898,86.38751481635789,1.6363673006482597,HOLD
